Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,Oct,1400,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Oct,1400,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Oct,1735,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
1,Oct,2200,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Oct,1110,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Oct,1427,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Oct,1530,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Oct,1738,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
2,Oct,1740,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
5,Oct,1935,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Oct,1630,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
1,Nov,20,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
1,Nov,256,Wet / Damp,Darkness: street lights present and lit,Fog or mist � if hazard,Pedestrian,Fatal,Male,MIDDLE-AGED,Taxi/Private hire car
2,Nov,1006,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Oct,1449,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Oct,1449,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1810,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
4,Nov,749,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
4,Nov,749,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 7.5 tonnes mgw and over
4,Nov,749,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Nov,1714,Wet / Damp,Darkness: street lights present and lit,Fog or mist � if hazard,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Nov,1714,Wet / Damp,Darkness: street lights present and lit,Fog or mist � if hazard,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,Nov,1730,Wet / Damp,Darkness: street lights present and lit,Fog or mist � if hazard,Driver/Rider,Slight,Female,YOUNG,Car
1,Nov,1630,Dry,Darkness: street lights present and lit,Fog or mist � if hazard,Pedestrian,Slight,Male,YOUNG,Car
1,Nov,1630,Dry,Darkness: street lights present and lit,Fog or mist � if hazard,Pedestrian,Slight,Male,YOUNG,Car
2,Nov,33,Wet / Damp,Darkness: street lights present and lit,Fog or mist � if hazard,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,635,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,741,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,950,Wet / Damp,Daylight: street lights present,Fog or mist � if hazard,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Nov,1555,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Nov,1600,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,530,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Nov,1830,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Nov,820,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Taxi/Private hire car
2,Nov,1542,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Nov,1542,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1710,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1735,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Nov,1905,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
1,Nov,1710,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Nov,700,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1112,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Car
2,Nov,1514,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Fatal,Male,SENIOR CITIZEN,Car
2,Nov,1514,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Serious,Female,SENIOR CITIZEN,Car
4,Nov,1550,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
4,Nov,1750,Wet / Damp,Darkness: street lights present and lit,Other,Driver/Rider,Serious,Female,MIDDLE-AGED,Car
4,Nov,1750,Wet / Damp,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 7.5 tonnes mgw and over
4,Nov,1750,Wet / Damp,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
4,Nov,1750,Wet / Damp,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 7.5 tonnes mgw and over
1,Nov,138,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Nov,744,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Nov,835,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,Nov,835,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,YOUNG,Taxi/Private hire car
2,Nov,835,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,YOUNG,Taxi/Private hire car
2,Nov,835,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Taxi/Private hire car
2,Nov,1750,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Nov,1150,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Nov,1955,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,Pedal cycle
2,Nov,310,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,310,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
1,Nov,750,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,750,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Nov,1155,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Nov,1445,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1527,Wet / Damp,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,YOUNG,Car
1,Nov,1600,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Nov,1806,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Nov,1820,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1840,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Nov,1840,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Car
2,Nov,1940,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Nov,315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Nov,315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Nov,315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Nov,1205,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1355,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1355,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,Nov,1355,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Nov,1355,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Nov,1355,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Nov,1355,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Nov,1355,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Nov,1626,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,YOUNG,Car
2,Nov,1834,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 125cc and up to 500cc
2,Nov,830,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Nov,1426,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Nov,1900,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,830,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Nov,1500,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Car
1,Nov,1725,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Nov,810,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Nov,831,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Nov,830,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
2,Nov,1245,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,1440,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1720,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
2,Nov,1715,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Nov,1738,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 125cc and up to 500cc
2,Nov,1841,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Nov,1841,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,Oct,645,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Nov,740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
2,Nov,845,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,845,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1307,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Goods vehicle 3.5 tonnes mgw and under
2,Nov,1323,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,1323,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1323,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Nov,1323,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Nov,1500,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1544,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1544,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1544,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Taxi/Private hire car
2,Nov,1645,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,1829,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1408,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,YOUNG,Goods vehicle 3.5 tonnes mgw and under
1,Nov,1614,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
3,Nov,1704,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1715,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1900,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Pedal cycle
2,Nov,2120,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,2120,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,2120,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Nov,2120,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,YOUNG,Car
3,Nov,1415,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1851,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Nov,1955,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1000,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Car
1,Nov,2305,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
1,Nov,2305,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
1,Nov,455,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,455,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
2,Nov,1230,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1230,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Nov,1230,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,YOUNG,Car
2,Nov,1230,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,YOUNG,Car
2,Nov,1230,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Nov,1230,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1230,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Nov,1545,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,YOUNG,Bus or coach (17 or more passenger seats)
1,Nov,142,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,YOUNG,Car
1,Nov,1520,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,Nov,1520,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Nov,1636,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,1645,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1645,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Goods vehicle 3.5 tonnes mgw and under
2,Nov,1750,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
3,Nov,1044,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
1,Nov,1745,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
1,Nov,1754,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,YOUNG,Car
1,Nov,1754,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,YOUNG,Car
2,Nov,1910,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,1910,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Nov,2230,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,640,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,715,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,715,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Nov,715,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Nov,715,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Nov,715,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Nov,834,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Pedal cycle
2,Nov,1433,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1433,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1459,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Serious,Female,SENIOR CITIZEN,Car
2,Nov,1615,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,Pedal cycle
1,Nov,1717,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1945,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,1925,Wet / Damp,Darkness: street lighting unknown,Raining with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Nov,1920,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Nov,2040,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Male,YOUNG,Car
3,Nov,2124,Frost / Ice,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,2125,Frost / Ice,Darkness: street lights present and lit,Other,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Nov,715,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Nov,810,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,810,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,YOUNG,Car
2,Nov,810,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,YOUNG,Car
2,Nov,1056,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1056,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1750,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,YOUNG,Car
2,Nov,1915,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1920,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Car
2,Nov,638,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,M/cycle 50cc and under
1,Nov,1005,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
3,Nov,1510,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Nov,1510,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Nov,1705,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,1724,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Nov,1400,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,1510,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1510,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Nov,1510,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,Nov,1538,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,Nov,1650,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,YOUNG,Motorcycle over 50cc and up to 125cc
1,Nov,1650,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Motorcycle over 50cc and up to 125cc
3,Nov,1710,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
3,Nov,2000,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Nov,24,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,24,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
3,Nov,1100,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
2,Nov,1400,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Nov,701,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Nov,1620,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Nov,1620,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Nov,1828,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Taxi/Private hire car
1,Nov,1900,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
2,Nov,1920,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Nov,525,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Pedal cycle
2,Nov,648,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,Nov,839,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
3,Nov,839,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Nov,930,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Nov,1015,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
