Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,27-Jan-15,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,44,Motorcycle over 500cc
2,27-Jan-15,1640,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,35,Pedal cycle
2,28-Jan-15,900,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,51,Motorcycle over 500cc
1,28-Jan-15,1219,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Male,60,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
2,28-Jan-15,1250,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,34,Car
2,28-Jan-15,1638,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Male,13,Car
2,28-Jan-15,1638,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Driver/Rider,Slight,Female,45,Car
1,28-Jan-15,1833,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Pedestrian,Slight,Male,52,Car
1,28-Jan-15,1833,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Pedestrian,Slight,Male,28,Car
1,28-Jan-15,1833,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Driver/Rider,Slight,Male,70,Car
1,28-Jan-15,2300,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,22,Car
2,28-Jan-15,2320,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Male,22,Car
3,29-Jan-15,748,Unclassified,Snow,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
1,29-Jan-15,915,Unclassified,Snow,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,53,Car
1,29-Jan-15,936,Motorway,Wet / Damp,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,20,Car
2,29-Jan-15,1035,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,41,Car
2,29-Jan-15,1035,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,43,Car
2,29-Jan-15,1035,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,56,Car
2,30-Jan-15,1203,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
1,29-Jan-15,1523,Unclassified,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Slight,Female,38,Goods vehicle 3.5 tonnes mgw and under
2,30-Jan-15,1230,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,41,Goods vehicle 7.5 tonnes mgw and over
2,30-Jan-15,1539,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,51,Car
2,30-Jan-15,1539,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,49,Car
1,30-Jan-15,1530,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,38,Car
1,30-Jan-15,1530,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,8,Car
1,30-Jan-15,1750,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2,30-Jan-15,2330,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,49,Taxi/Private hire car
